Web.ID,Region.of.Incident,Reported.Date,Reported.Year,Reported.Month,Number.Dead,Minimum.Estimated.Number.of.Missing,Total.Dead.and.Missing,Number.of.Survivors,Number.of.Females,Number.of.Males,Number.of.Children,Cause.of.Death,Land.or.Sea,Location.Description,Information.Source,Location.Coordinates,Migration.Route,URL,UNSD.Geographical.Grouping,Source.Quality,Cause.of.Death.Brief,Year.Month,Month.Year
40669,Europe,2015-06-18,2015,Jun,1,0,1,,,1,,Plane stowaway,land,"Heathrow Airport, UK",The Guardian,"51.471150000000, -0.456487000000",Airplane,"http://bit.ly/1Rgw7b9, http://bit.ly/1Bs6I7M",Northern Europe,3,Plane stowaway,2015-06,06/15
40670,Europe,2015-09-12,2015,Sep,1,0,1,,,,,Plane stowaway,land,"Schiphol airport, Amsterdam. Plane departed from Nairobi, Kenya.",Reuters,"52.310538600000, 4.768274400000",Airplane,http://reut.rs/1K63owH,Western Europe,1,Plane stowaway,2015-09,09/15
42849,Europe,2016-01-10,2016,Jan,1,0,1,,,1,,Plane stowaway,land,"Found at Orly Airport, France. Was on flight from Brazil that landed in Charles de Gaulle on the 10th of January.",Daily Mail,"48.726243300000, 2.363058500000",Airplane,http://dailym.ai/1T7zAIQ,Western Europe,1,Plane stowaway,2016-01,01/16
42545,Europe,2016-06-07,2016,Jun,1,0,1,,,1,,Plane stowaway,land,"Found in Brussels Airport, on Brussels Airways flight from Dakar, Senegal",Medias de Bruxelles,"50.900457900000, 4.480999900000",Airplane,http://bit.ly/28mVQoU,Western Europe,1,Plane stowaway,2016-06,06/16
51816,Europe,2019-06-30,2019,Jun,1,0,1,,,1,,Plane stowaway,land,"Garden in Offerton Road, Clapham, London, UK - fell from landing gear of an inbound Kenya Airways flight to Heathrow Airport","Metropolitan Police, The New York Times","51.463784260180, -0.157933543286",Airplane,"http://bit.ly/2KQlWh7, https://bbc.in/2J91tC4, https://nyti.ms/2xrzMOe",Western Europe,5,Plane stowaway,2019-06,06/19
39438,Europe,2014-11-19,2014,Nov,2,0,2,,,,,Burned,land,"Dunkirk, Loon-Plague port",Daily Mail,"50.996600000000, 2.257400000000",Calais to United Kingdom,http://dailym.ai/1r4Egyr,Western Europe,1,Burned,2014-11,11/14
42738,Europe,2016-10-18,2016,Oct,1,0,1,,,1,,Crushed in back of truck,land,"A20 Highway, near Sellindge, Kent, UK",International Business Times,"51.101895200000, 0.983391600000",Calais to United Kingdom,"http://bit.ly/2et7OHf, http://bit.ly/2qtNbAv",Northern Europe,3,Transportation accident,2016-10,10/16
40287,Europe,2015-09-29,2015,Sep,1,0,1,,,1,,Crushed in back of truck,land,"In a truck in Calais port, France",BBC,"50.951300000000, 1.858690000000",Calais to United Kingdom,http://bbc.in/1RfPDkT,Western Europe,1,Transportation accident,2015-09,09/15
40613,Europe,2015-12-28,2015,Dec,1,0,1,,,,,Crushed in back of truck,land,"Motorway near Dunkirque, France",El Siglo de Torreon,"51.016352000000, 2.399438000000",Calais to United Kingdom,"http://bit.ly/24taPcp, http://rfi.my/1U8IQMm",Western Europe,3,Transportation accident,2015-12,12/15
44068,Europe,2017-12-29,2017,Dec,1,0,1,,,1,,Crushed in back of truck,land,"Calais Port, France",The Local,"50.934076500000, 1.910214900000",Calais to United Kingdom,"http://bit.ly/2Duroy8, http://bit.ly/2D7Blmc",Western Europe,3,Transportation accident,2017-12,12/17
30899,Europe,2017-04-01,2017,Apr,1,0,1,,,1,1,"Crushed in back of truck, Vehicle Accident",land,"Banbury, Oxfordshire, UK",BBC,"52.064073000000, -1.373646700000",Calais to United Kingdom,http://bbc.in/2sMbRnT,Western Europe,1,Transportation accident,2017-04,04/17
51961,Europe,2014-10-07,2014,Oct,1,0,1,,,1,,Drowning,sea,"Body recovered near Lisa, Norway on 02.01.2015",Dgbladet,"50.981587301914, 1.810620814453",Calais to United Kingdom,"https://bit.ly/2LI6ELU, https://bbc.in/2Z3WuvQ",Uncategorized,3,Drowning,2014-10,10/14
51962,Europe,2014-10-07,2014,Oct,1,0,1,,,1,,Drowning,sea,"Body recovered on Texel, Netherlands on 27.10.2014",Dagbladet,"51.005343743724, 1.826413661133",Calais to United Kingdom,"https://bit.ly/2LI6ELU, https://bbc.in/2Z3WuvQ",Uncategorized,3,Drowning,2014-10,10/14
51948,Europe,2019-08-09,2019,Aug,0,1,1,19,1,,,Drowning,sea,"In the English Channel en route to coast of Kent, England",IOM UK,"50.985813319746, 1.263302548438",Calais to United Kingdom,"https://bbc.in/301GdnG, https://bit.ly/2Z7GOXy",Uncategorized,3,Drowning,2019-08,08/19
40366,Europe,2015-07-19,2015,Jul,1,0,1,,,1,1,Drowning,pond,"Eurotunnel, France",Calais Migrant Solidarity,"49.382400000000, 2.109380000000",Calais to United Kingdom,https://calaismigrantsolidarity.wordpress.com/deaths-at-the-calais-border/,Western Europe,4,Drowning,2015-07,07/15
40369,Europe,2015-07-24,2015,Jul,1,0,1,,,1,,Drowning,pond,"Calais, Eurotunnel site",The Express,"50.926453900000, 1.796831500000",Calais to United Kingdom,http://bit.ly/1HXOSXN,Western Europe,1,Drowning,2015-07,07/15
40532,Europe,2015-09-20,2015,Sep,1,0,1,,,1,,Drowning,sea,"Port of Calais, France",Morocco World News,"50.966392000000, 1.862324900000",Calais to United Kingdom,http://bit.ly/1S6gZgF,Western Europe,1,Drowning,2015-09,09/15
42440,Europe,2016-02-10,2016,Feb,1,0,1,,,1,,Drowning,sea,"near Calais, France",Le Figaro.fr,"50.951880300000, 1.833936700000",Calais to United Kingdom,http://bit.ly/23YBm3O,Western Europe,1,Drowning,2016-02,02/16
45946,Europe,2018-09-23,2018,Sep,1,0,1,2,,1,,Drowning,sea,"Port of Calais, Pas-de-Calais, France","Ouest France, Nord Littoral. Express","50.970998507163, 1.850203957581",Calais to United Kingdom,"https://bit.ly/2Q9tppN, https://bit.ly/2DIbRA7, https://bit.ly/2ObT4Rw, https://bit.ly/2OMusz3",Western Europe,3,Drowning,2018-09,09/18
51923,Europe,2019-07-06,2019,Jul,1,0,1,2,,1,,Drowning,sea,"Off the coast of Malo-les-Bains, near Dunkerque, Grand-Synthe, France","Calais Migrant Solidarity, La Voix du Nord","51.051900837879, 2.399199796303",Calais to United Kingdom,"http://bit.ly/2KaXMMD, http://bit.ly/2yvJOOH",Western Europe,4,Drowning,2019-07,07/19
52496,Europe,2019-10-14,2019,Oct,2,0,2,,,2,1,Drowning,sea,"Bodies recovered on Le Touquet, Pas-de-Calais, France","Franceinfo, Le Monde","50.524419783820, 1.556037455696",Calais to United Kingdom,"http://bit.ly/2pm5ZW8, http://bit.ly/32kxFt6",Western Europe,3,Drowning,2019-10,10/19
40572,Europe,2015-09-18,2015,Sep,1,0,1,,,1,,"Electrocution, Train Accident",land,"Entarance to Eurotunnel in Calais, France",BBC,"50.951880300000, 1.833936700000",Calais to United Kingdom,http://www.bbc.com/news/uk-34287750,Western Europe,1,Transportation accident,2015-09,09/15
39238,Europe,2014-05-02,2014,May,1,0,1,0,0,1,1,Fall from truck,land,Calais,Calais Migrant Solidarity,"50.951300000000, 1.858690000000",Calais to United Kingdom,http://bit.ly/1nMFzWd,Western Europe,4,Transportation accident,2014-05,05/14
39369,Europe,2014-05-23,2014,May,1,0,1,0,,1,,Fall from truck,land,Calais,Calais Migrant Solidarity,"50.951300000000, 1.858690000000",Calais to United Kingdom,http://bit.ly/1DpK8rz,Western Europe,4,Transportation accident,2014-05,05/14
42788,Europe,2016-12-24,2016,Dec,1,0,1,,,1,,Fall from truck,land,"Port of Dunkirk, France",RT,"51.033308200000, 2.211838400000",Calais to United Kingdom,http://bit.ly/2hL3Tph,Western Europe,1,Transportation accident,2016-12,12/16
42711,Europe,2016-09-24,2016,Sep,1,0,1,,,1,,Hit by train,land,"Train tracks near port of Calais, France",AFP,"50.951880300000, 1.833936700000",Calais to United Kingdom,http://bit.ly/2dllJhF,Western Europe,1,"Foot migration, accidental",2016-09,09/16
42718,Europe,2016-10-14,2016,Oct,1,0,1,2,,1,,Hit by train,land,"On train tracks in Loon-Plage, near Calais, France",La Voix du Nord,"50.951880300000, 1.833936700000",Calais to United Kingdom,http://bit.ly/2dV9pq6,Western Europe,1,"Foot migration, accidental",2016-10,10/16
42539,Europe,2016-05-28,2016,May,1,0,1,,,1,,Hit by truck,land,"Highway A-16, near Calais, France",Diario de Transporte,"50.951880300000, 1.833936700000",Calais to United Kingdom,http://bit.ly/28IstaO,Western Europe,1,"Foot migration, accidental",2016-05,05/16
42603,Europe,2016-07-04,2016,Jul,1,0,1,,,1,,Hit by truck,land,Highway leading to Calais Port,Associated Press,"50.972636000000, 1.890741500000",Calais to United Kingdom,http://bit.ly/29lWtHC,Western Europe,1,"Foot migration, accidental",2016-07,07/16
42599,Europe,2016-07-12,2016,Jul,1,0,1,,1,,,Hit by truck,land,Bypass over highway towards Port of Calais,Les Echos,"50.965429100000, 1.900613000000",Calais to United Kingdom,http://bit.ly/29J7wM8,Western Europe,1,"Foot migration, accidental",2016-07,07/16
43897,Europe,2017-03-11,2017,Mar,1,0,1,,,1,,Hit by truck,land,"A16 motorway near Grande-Synthe, Dunkirk, France",Le Phare Dunkerquois,"50.994751460549, 2.277857761719",Calais to United Kingdom,"http://bit.ly/2zED8wd, http://bit.ly/2zCoPbr",Western Europe,3,"Foot migration, accidental",2017-03,03/17
43858,Europe,2017-09-27,2017,Sep,1,0,1,,,1,,Hit by truck,land,"A28 motorway, near Abbeville, Somme, France",Le Figaro,"50.131333408968, 1.809367179688",Calais to United Kingdom,http://bit.ly/2yFDfuS,Western Europe,1,"Foot migration, accidental",2017-09,09/17
44065,Europe,2017-12-21,2017,Dec,1,0,1,,,1,1,Hit by truck,land,"Near Calais, France","L'Express, The Guardian","50.953020261886, 1.919110804688",Calais to United Kingdom,"http://bit.ly/2CRXSDE, http://bit.ly/2Didt2D",Western Europe,3,"Foot migration, accidental",2017-12,12/17
42407,Europe,2016-03-31,2016,Mar,1,0,1,,,1,,Hit by vehicle,land,"A16 near Calais, France",AFP,"50.951880300000, 1.833936700000",Calais to United Kingdom,http://bit.ly/1MDtIX4,Western Europe,1,"Foot migration, accidental",2016-03,03/16
42474,Europe,2016-05-09,2016,May,1,0,1,,,1,,Hit by vehicle,land,"on road near Calais, France",AP,"50.951880300000, 1.833936700000",Calais to United Kingdom,http://bit.ly/1rOIVev,Western Europe,1,"Foot migration, accidental",2016-05,05/16
42613,Europe,2016-07-20,2016,Jul,1,0,1,,,1,,Hit by vehicle,land,A16 motorway near Calais,Nord Pas-de-Calais,"50.951880300000, 1.833936700000",Calais to United Kingdom,http://bit.ly/2a4wZAM,Western Europe,1,"Foot migration, accidental",2016-07,07/16
42861,Europe,2016-09-16,2016,Sep,1,0,1,,,1,1,Hit by vehicle,land,"N216, Port access ramp, Calais, France",The Independent,"50.951880300000, 1.833936700000",Calais to United Kingdom,"http://ind.pn/2cA5dyL, http://bit.ly/2dcSbG9, http://bit.ly/2elGf1v",Western Europe,3,"Foot migration, accidental",2016-09,09/16
42449,Europe,2016-10-09,2016,Oct,1,0,1,1,,1,,Hit by vehicle,land,"Motorway through Chunnel Tunnel, near Calais, France",BBC,"50.951880300000, 1.833936700000",Calais to United Kingdom,http://bbc.in/2dO6zTr,Western Europe,1,"Foot migration, accidental",2016-10,10/16
42455,Europe,2016-10-26,2016,Oct,1,0,1,,,,,Hit by vehicle,land,"Outside of Calais, France",TheLocal.fr,"50.951880300000, 1.833936700000",Calais to United Kingdom,"http://bit.ly/1O4MUg8, http://bit.ly/23gniCk",Western Europe,3,"Foot migration, accidental",2016-10,10/16
44873,Europe,2018-06-11,2018,Jun,1,0,1,,,,,Hit by vehicle,land,"A16 motorway, near Grande-Synthe, Nord-Pas de Calais, France","Le Phare Dunkerquois, Radio6","50.994724449985, 2.277085285523",Calais to United Kingdom,"https://bit.ly/2HEJ2AW, https://bit.ly/2HEExGJ",Western Europe,3,"Foot migration, accidental",2018-06,06/18
46083,Europe,2018-11-18,2018,Nov,1,0,1,,,1,,Hit by vehicle,land,"Body found underneath a bus at the Eurotunnel terminal in Folkestone, Kent, UK",BBC,"51.095487806190, 1.120740941664",Calais to United Kingdom,"https://bbc.in/2BgnzOS, https://bit.ly/2qTcTzL, https://bit.ly/2UBpggn",Western Europe,3,"Foot migration, accidental",2018-11,11/18
48309,Europe,2019-01-11,2019,Jan,1,0,1,,,1,,Hit by vehicle,land,"Highway 515 near Blainville-sur-Orne, between Caen and Ouistreham, Normandie, France","Tendance Ouest, Ouest France","49.232567558821, -0.290652339042",Calais to United Kingdom,"https://bit.ly/2ALUUR6, https://bit.ly/2SRzWr1",Western Europe,3,"Foot migration, accidental",2019-01,01/19
51708,Europe,2019-05-20,2019,May,1,0,1,,,1,,Hit by vehicle,land,"A16 motorway, near Guemps, Pas-de-Calais, France - en route to Dunkerque","Le Parisien, La Voix du Nord","50.932952900000, 2.001427300000",Calais to United Kingdom,"http://bit.ly/2Qivcds, http://bit.ly/2ErEcbB",Western Europe,3,"Foot migration, accidental",2019-05,05/19
39375,Europe,2014-08-21,2014,Aug,1,0,1,34,,1,,"Murdered, Asphyxiation",land,"Dead body found shipping container in Tilbury docks, Essex, UK",News Letter - The Pride of Northern Ireland,"51.461600000000, 0.345211000000",Calais to United Kingdom,http://bit.ly/1sbXSrf,Northern Europe,1,Suffocation,2014-08,08/14
51964,Europe,2019-08-18,2019,Aug,1,0,1,,,1,,Presumed drowning,sea,"Body recovered near Zeebrugge Port, Belgium",Ouest France,"51.355731038751, 3.116213492969",Calais to United Kingdom,"https://bit.ly/2P9mnWJ, https://bit.ly/31TlbIr, https://bit.ly/2TKfwSj, https://bit.ly/32687PU, https://bit.ly/2pZgKy",Uncategorized,3,Drowning,2019-08,08/19
42850,Europe,2016-08-22,2016,Aug,1,0,1,,,1,,Stabbed,land,"Near motorway towards Port of Calais, France",AP,"50.951880300000, 1.833936700000",Calais to United Kingdom,http://dailym.ai/2bsg9vm,Northern Europe,1,Violence,2016-08,08/16
42877,Europe,2016-07-26,2016,Jul,1,0,1,6,,1,,Stabbed,land,"Calais 'Jungle', France",Reuters,"50.951880300000, 1.833936700000",Calais to United Kingdom,http://en.rfi.fr/france/20160726-ethiopian-killed-calais-migrant-camp,Western Europe,1,Violence,2016-07,07/16
42736,Europe,2016-10-18,2016,Oct,1,0,1,,,1,,Stabbed,land,"Norrent-Fontes Migrant camp, Béthune, France",La Presse,"50.529873600000, 2.626163000000",Calais to United Kingdom,"http://bit.ly/2erBJhT, http://bit.ly/2egqble, http://dailym.ai/2eoKz1y",Western Europe,3,Violence,2016-10,10/16
40844,Europe,2015-11-17,2015,Nov,2,0,2,,,2,,Suffocation,land,"found at Ferroli boilers warehouse, Branston UK",The Guardian,"52.783148000000, -1.679280000000",Calais to United Kingdom,http://bit.ly/1Lvdhom,Northern Europe,1,Suffocation,2015-11,11/15
51529,Europe,2019-03-08,2019,Mar,1,0,1,,,1,,Suffocation,land,"Body found inside truck in Port of Calais, Pas-de-Calais, France","Le Parisien, Ouest-France, La Voix du Nord, Calais Migrant Solidarity","50.971622839886, 1.858666925932",Calais to United Kingdom,"http://bit.ly/2u0VqXR, http://bit.ly/2UzcO1g, http://bit.ly/2HnEWBV, http://bit.ly/2CR3wHl",Western Europe,4,Suffocation,2019-03,03/19
52511,Europe,2019-10-23,2019,Oct,39,0,39,,8,31,1,Suffocation,land,"Inside a lorry container parked at Waterglade Industrial Park, Eastern Avenue, Grays, Essex, England, UK",Essex Police,"51.478385361096, 0.268362365616",Calais to United Kingdom,http://bit.ly/2P7CItk,Western Europe,5,Suffocation,2019-10,10/19
40856,Europe,2015-06-26,2015,Jun,1,0,1,,,1,,Train Accident,land,"French entrance to Channel Tunnel, France",The Guardian,"46.227638000000, 2.213749000000",Calais to United Kingdom,http://bit.ly/1KNxevI,Western Europe,1,Transportation accident,2015-06,06/15
40857,Europe,2015-07-07,2015,Jul,1,0,1,,,1,,Train Accident,land,"French entrance to Channel Tunnel, France",BBC and The Guardian,"50.914300000000, 1.800380000000",Calais to United Kingdom,"http://bbc.in/1HalLjR, http://bit.ly/1TnlRvV",Western Europe,3,Transportation accident,2015-07,07/15
40849,Europe,2015-09-24,2015,Sep,1,0,1,,,1,1,Train Accident,land,"Channel Tunnel (entrance at Calais), France",BBC,"50.923200000000, 1.782850000000",Calais to United Kingdom,http://www.bbc.com/news/world-europe-34345684,Western Europe,1,Transportation accident,2015-09,09/15
40612,Europe,2015-09-30,2015,Sep,1,0,1,,,1,,Train Accident,land,"French entrance to Channel Tunnel, France",CNN,"50.922300000000, 1.784080000000",Calais to United Kingdom,http://cnn.it/1FHSgL9,Western Europe,1,Transportation accident,2015-09,09/15
40850,Europe,2015-10-15,2015,Oct,1,0,1,,,,,Train Accident,land,"alongside a train platform in Coquelles, France",Reuters,"50.936400000000, 1.799950000000",Calais to United Kingdom,http://reut.rs/1OHpRGz,Western Europe,1,Transportation accident,2015-10,10/15
40855,Europe,2015-10-16,2015,Oct,1,0,1,,,1,1,Train Accident,land,"Channel Tunnel, , France",La Voix du Nord,"51.007732100000, 1.422840100000",Calais to United Kingdom,http://bit.ly/1n6aJsz,Western Europe,1,Transportation accident,2015-10,10/15
41005,Europe,2015-07-24,2015,Jul,1,0,1,,,,,Unknown,sea,British side of Eurotunnel,Independent,"51.096029100000, 1.037926800000",Calais to United Kingdom,http://ind.pn/1Irgvhr,Northern Europe,1,Unknown,2015-07,07/15
42953,Europe,2016-03-02,2016,Mar,1,0,1,,,1,,Unknown,land,"Calais, France",Calais Prefecture,"50.951880300000, 1.833936700000",Calais to United Kingdom,"",Western Europe,5,Unknown,2016-03,03/16
39233,Europe,2014-03-14,2014,Mar,1,0,1,0,,1,,Unknown,sea,France - Calais (Body found on dock),Daily Mail UK,"50.950273000000, 1.848663000000",Calais to United Kingdom,http://dailym.ai/1iYPbax,Western Europe,1,Unknown,2014-03,03/14
42954,Europe,2016-07-27,2016,Jul,1,0,1,,,1,,Unknown,sea,"Calais, France",Prefecture of Calais,"50.951880300000, 1.833936700000",Calais to United Kingdom,"",Western Europe,5,Unknown,2016-07,07/16
39243,Europe,2014-07-24,2014,Jul,1,0,1,,,1,,Vehicle Accident,land,"Abandoned airfield outside Downham Market, England, UK",The independent,"50.958400000000, 0.175781000000",Calais to United Kingdom,http://ind.pn/1ArBv2L,Northern Europe,1,Transportation accident,2014-07,07/14
41044,Europe,2015-10-14,2015,Oct,1,0,1,,,1,,Vehicle Accident,land,"M20 highway, near junction 8 for Leeds, near Maidestone, Kent, England, UK",Daily Mail,"51.299076000000, 0.516880000000",Calais to United Kingdom,http://dailym.ai/1WmVWHU,Northern Europe,1,Transportation accident,2015-10,10/15
39373,Europe,2014-01-30,2014,Jan,1,0,1,2,,1,1,Vehicle Accident,land,France - Calais,Calais Migrant Solidarity,"50.935500000000, 1.878660000000",Calais to United Kingdom,http://bit.ly/1icTIF9,Western Europe,4,Transportation accident,2014-01,01/14
39227,Europe,2014-03-09,2014,Mar,1,0,1,0,,1,,Vehicle Accident,land,France - Calais (Killed on motorway),Daily Mail UK,"50.936500000000, 1.855660000000",Calais to United Kingdom,http://dailym.ai/1iYPbax,Western Europe,1,Transportation accident,2014-03,03/14
39232,Europe,2014-03-12,2014,Mar,1,0,1,0,,1,,Vehicle Accident,land,France - Calais (Hit by lorry in port),Daily Mail UK,"50.968600000000, 1.867500000000",Calais to United Kingdom,http://dailym.ai/1iYPbax,Western Europe,1,Transportation accident,2014-03,03/14
39234,Europe,2014-03-15,2014,Mar,1,0,1,0,,1,,Vehicle Accident,land,France - Calais (Body found crushed in transporter),Daily Mail UK,"50.968800000000, 1.873680000000",Calais to United Kingdom,http://dailym.ai/1iYPbax,Western Europe,1,Transportation accident,2014-03,03/14
39253,Europe,2014-10-11,2014,Oct,1,0,1,0,1,0,1,Vehicle Accident,land,"Port of Calais, France",KentOnline,"50.951314000000, 1.858690000000",Calais to United Kingdom,http://bit.ly/1tj1pkQ,Western Europe,1,Transportation accident,2014-10,10/14
39370,Europe,2014-10-19,2014,Oct,1,0,1,0,,1,,Vehicle Accident,land,Calais,Calais Migrant Solidarity,"50.951300000000, 1.858690000000",Calais to United Kingdom,http://bit.ly/1vQmbIJ,Western Europe,4,Transportation accident,2014-10,10/14
39439,Europe,2014-12-29,2014,Dec,1,0,1,,,,,Vehicle Accident,land,On A16 highway near Calais direction Calais-Boulogne,Calais Migrant Solidarity,"50.847600000000, 1.757810000000",Calais to United Kingdom,http://bit.ly/1vbpsyD,Western Europe,4,Transportation accident,2014-12,12/14
39371,Europe,2014-12-31,2014,Dec,1,0,1,,,1,,Vehicle Accident,land,"M25 highway, United Kingdom (driving from Calais)",Calais Migrant Solidarity,"51.120800000000, 1.043700000000",Calais to United Kingdom,"http://bit.ly/1zTn3Of, http://bit.ly/1DxA7u2",Western Europe,4,Transportation accident,2014-12,12/14
41067,Europe,2015-05-31,2015,May,1,0,1,,,1,,Vehicle Accident,land,"A16 Highway at the entrance to the Eurotunnel, France",Calais Migrants Solidarity,"49.610700000000, 1.406250000000",Calais to United Kingdom,http://bit.ly/1DPsGT2,Western Europe,4,Transportation accident,2015-05,05/15
41053,Europe,2015-06-29,2015,Jun,1,0,1,,1,,,Vehicle Accident,land,"A16 between Calais and Marck, France",Calais Migrant Solidarity,"49.610700000000, 2.109380000000",Calais to United Kingdom,http://bit.ly/1DPsGT2,Western Europe,4,Transportation accident,2015-06,06/15
41054,Europe,2015-07-13,2015,Jul,1,0,1,,,1,,Vehicle Accident,land,"Calais-Eurotunnel, France",Calais Migrant Solidarity,"51.017900000000, 1.474550000000",Calais to United Kingdom,https://calaismigrantsolidarity.wordpress.com/deaths-at-the-calais-border/,Western Europe,4,Transportation accident,2015-07,07/15
41055,Europe,2015-07-16,2015,Jul,1,0,1,,,1,,Vehicle Accident,land,"Calais, France",Calais Migrant Solidarity,"50.951300000000, 1.858690000000",Calais to United Kingdom,https://calaismigrantsolidarity.wordpress.com/deaths-at-the-calais-border/,Western Europe,4,Transportation accident,2015-07,07/15
41046,Europe,2015-07-24,2015,Jul,1,0,1,,1,,,Vehicle Accident,land,"A16 motorway, Northern France, near Channel Tunnel",The Express,"50.003540600000, 2.171915600000",Calais to United Kingdom,http://bit.ly/1IiUz1J,Western Europe,1,Transportation accident,2015-07,07/15
41056,Europe,2015-07-27,2015,Jul,1,0,1,,,1,,Vehicle Accident,land,"Eurotunnel, France",Liberation Society,"50.951300000000, 1.858690000000",Calais to United Kingdom,http://www.liberation.fr/societe/2015/07/29/des-noms-derrieres-les-migrants-morts-a-calais_1355183,Western Europe,1,Transportation accident,2015-07,07/15
41047,Europe,2015-07-29,2015,Jul,1,0,1,,,1,,Vehicle Accident,land,"Eurotunnel, France",The Guardian,"50.951300000000, 1.858690000000",Calais to United Kingdom,"http://bit.ly/1glqwRa, http://bit.ly/1Im65dN",Western Europe,3,Transportation accident,2015-07,07/15
41052,Europe,2015-09-29,2015,Sep,1,0,1,,,1,,Vehicle Accident,land,"Calais, France",Guardian,"50.937235000000, 1.890964000000",Calais to United Kingdom,http://www.theguardian.com/uk-news/2015/jul/29/calais-one-dead-1500-migrants-storm-eurotunnel-terminal,Western Europe,1,Transportation accident,2015-09,09/15
41049,Europe,2015-10-15,2015,Oct,1,0,1,,1,,,Vehicle Accident,land,"Motorway close to the Channel Tunnel near Calais , France",Calais Migrant Solidarity,"50.951290000000, 1.858686000000",Calais to United Kingdom,http://bit.ly/22N7qH6,Western Europe,4,Transportation accident,2015-10,10/15
41061,Europe,2015-10-26,2015,Oct,1,0,1,,,1,,Vehicle Accident,land,"in Calais, France",TheLocal.fr,"50.951880300000, 1.833936700000",Calais to United Kingdom,"http://bit.ly/1O4MUg8, http://bit.ly/23gniCk",Western Europe,3,Transportation accident,2015-10,10/15
41042,Europe,2015-12-02,2015,Dec,1,0,1,,,1,,Vehicle Accident,land,"Calais motorway, France",Calais Migrant Solidarity,"50.951880300000, 1.833936700000",Calais to United Kingdom,http://bit.ly/1DPsGT2,Western Europe,4,Transportation accident,2015-12,12/15
41043,Europe,2015-12-03,2015,Dec,1,0,1,,1,1,1,Vehicle Accident,land,"Calais motorway, France",Calais Migrant Solidarity,"50.951880300000, 1.833936700000",Calais to United Kingdom,http://bit.ly/1DPsGT2,Western Europe,4,Transportation accident,2015-12,12/15
30738,Europe,2017-01-21,2017,Jan,1,0,1,,,1,,Vehicle Accident,land,"Motorway leading to port, Calais, France",The Telegraph,"50.951880300000, 1.833936700000",Calais to United Kingdom,http://bit.ly/2jIiapl,Western Europe,1,Transportation accident,2017-01,01/17
35485,Europe,2017-07-22,2017,Jul,1,0,1,,,1,1,Vehicle Accident,land,"Gare du Nord, Brussels, Belgium - bus destination Calais, France",Flandre Info,"50.860526200000, 4.361787300000",Calais to United Kingdom,http://bit.ly/2w2wpi5,Western Europe,1,Transportation accident,2017-07,07/17
35471,Europe,2017-08-03,2017,Aug,1,0,1,,,1,,Vehicle Accident,land,"A16 motorway, near Guemps, Pas-de-Calais, France",L'Humanité,"50.933683919048, 1.994627452362",Calais to United Kingdom,"http://bit.ly/2uyjrTV, http://bit.ly/2y6btTV",Western Europe,3,Transportation accident,2017-08,08/17
44085,Europe,2018-01-09,2018,Jan,1,0,1,,,1,,Vehicle Accident,land,"A16 motorway, km 90 near Marck, Calais, France","La Voix du Nord, Le Parisien, Franceinfo","50.937727764813, 1.949506613770",Calais to United Kingdom,"http://bit.ly/2CN2euE, http://bit.ly/2FjtPpj, http://bit.ly/2CUJgFN, http://bit.ly/2FwCvZw",Western Europe,3,Transportation accident,2018-01,01/18
44682,Europe,2018-03-28,2018,Mar,1,0,1,,,1,1,Vehicle Accident,land,"Died in Hopital Claude Huriez, Lille, France, after jumping from a truck on a motorway near Port of Calais, France","Le Parisien, La Voix du Nord","50.610968300000, 3.034904500000",Calais to United Kingdom,"https://bit.ly/2pPsjnL, https://bit.ly/2GikD4n",Western Europe,3,Transportation accident,2018-03,03/18
42525,Europe,2016-04-01,2016,Apr,1,0,1,,,1,,"Vehicle Accident, Crushed in back of truck",land,"In Oxfordshire, England",The Guardian,"51.744362900000, -1.450083900000",Calais to United Kingdom,http://bit.ly/1ZYGotY,Northern Europe,1,Transportation accident,2016-04,04/16
41096,Europe,2015-02-14,2015,Feb,1,0,1,,,1,,Violence,land,"Calais 'jungle', France",Calais Migrant Solidarity,"50.951300000000, 1.858690000000",Calais to United Kingdom,http://bit.ly/1DPsGT2,Western Europe,4,Violence,2015-02,02/15
39405,Mediterranean,2014-03-17,2014,Mar,1,0,1,,,,,Asphyxiation,sea,Mediterranean,Global post,"34.979700000000, 12.656300000000",Central Mediterranean,http://bit.ly/1lOxCNv,Uncategorized,1,Suffocation,2014-03,03/14
39374,Mediterranean,2014-05-23,2014,May,1,0,1,,,1,1,Asphyxiation,sea,Greece,Neos Kosmos,"39.506100000000, 20.265500000000",Central Mediterranean,http://bit.ly/1lOxCNv,Uncategorized,1,Suffocation,2014-05,05/14
42947,Mediterranean,2016-02-23,2016,Feb,5,0,5,403,3,2,,Asphyxiation,sea,Unspecified location between Tunisia and Sicily,"IOM Italy, Reuters","37.720242300000, 10.285804200000",Central Mediterranean,http://bit.ly/1lOxCNv,Uncategorized,4,Suffocation,2016-02,02/16
42869,Mediterranean,2016-07-12,2016,Jul,4,0,4,400,,,,Asphyxiation,sea,"32 Km off the coast of Libya, south of Malta",Reuters,"33.593035300000, 13.542852100000",Central Mediterranean,http://reut.rs/29E95Mi,Uncategorized,1,Suffocation,2016-07,07/16
